"","Overall","0","1","p","test","0","1","p","test","White","Black","Native American","Asian or PI","Hispanic","NA.","p","test"
"n","  1584688","  1540446","    44242","","","  1559140","    25548","","","   943944","   493045","     9038","    23561","    83126","    31974","",""
"EL_SEX_CD = M (%)","   662468 ( 41.8) ","   646065 ( 41.9) ","    16403 ( 37.1) ","<0.001","","   651674 ( 41.8) ","    10794 ( 42.2) "," 0.147","","   394767 ( 41.8) ","   201603 ( 40.9) ","     3965 ( 43.9) ","    10339 ( 43.9) ","    36236 ( 43.6) ","    15558 ( 48.7) ","<0.001",""
"race (%)","  ","  ","    ","<0.001","","  ","    ","<0.001","","   ","   ","     ","    ","    ","    ","<0.001",""
"   White","   943944 ( 59.6) ","   918044 ( 59.6) ","    25900 ( 58.5) ","","","   930882 ( 59.7) ","    13062 ( 51.1) ","","","   943944 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","",""
"   Black","   493045 ( 31.1) ","   477953 ( 31.0) ","    15092 ( 34.1) ","","","   482430 ( 30.9) ","    10615 ( 41.5) ","","","        0 (  0.0) ","   493045 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","",""
"   Native American","     9038 (  0.6) ","     8834 (  0.6) ","      204 (  0.5) ","","","     8939 (  0.6) ","       99 (  0.4) ","","","        0 (  0.0) ","        0 (  0.0) ","     9038 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","",""
"   Asian or PI","    23561 (  1.5) ","    22942 (  1.5) ","      619 (  1.4) ","","","    23207 (  1.5) ","      354 (  1.4) ","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","    23561 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","",""
"   Hispanic","    83126 (  5.2) ","    81668 (  5.3) ","     1458 (  3.3) ","","","    82302 (  5.3) ","      824 (  3.2) ","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","    83126 (100.0) ","        0 (  0.0) ","",""
"   NA.","    31974 (  2.0) ","    31005 (  2.0) ","      969 (  2.2) ","","","    31380 (  2.0) ","      594 (  2.3) ","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","    31974 (100.0) ","",""
"total_elig_months (mean (sd))","    10.93 (2.07)","    10.93 (2.07)","    10.96 (2.06)"," 0.004","","    10.93 (2.07)","    10.78 (2.24)","<0.001","","    10.87 (2.13)","    11.10 (1.92)","    10.83 (2.16)","    10.93 (2.08)","    10.81 (2.20)","    10.61 (2.31)","<0.001",""
"elig_cat (%)","  ","  ","    "," NaN","","  ","    "," NaN","","   ","   ","     ","    ","    ","    "," NaN",""
"   0 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","        0 (  0.0) ","        0 (  0.0) ","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","",""
