"","Overall","0","1","p","test","0","1","p","test","White","Black","Native American","Asian or PI","Hispanic","NA.","p","test"
"   1-3 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","        0 (  0.0) ","        0 (  0.0) ","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","",""
"   4-6 months","   117023 (  7.4) ","   113669 (  7.4) ","     3354 (  7.6) ","","","   114522 (  7.3) ","     2501 (  9.8) ","","","    74829 (  7.9) ","    29020 (  5.9) ","      751 (  8.3) ","     1732 (  7.4) ","     7400 (  8.9) ","     3291 ( 10.3) ","",""
"   7-9 months","   170926 ( 10.8) ","   166476 ( 10.8) ","     4450 ( 10.1) ","","","   168190 ( 10.8) ","     2736 ( 10.7) ","","","   107155 ( 11.4) ","    46566 (  9.4) ","     1025 ( 11.3) ","     2526 ( 10.7) ","     9347 ( 11.2) ","     4307 ( 13.5) ","",""
"   9-12 months","  1296739 ( 81.8) ","  1260301 ( 81.8) ","    36438 ( 82.4) ","","","  1276428 ( 81.9) ","    20311 ( 79.5) ","","","   761960 ( 80.7) ","   417459 ( 84.7) ","     7262 ( 80.3) ","    19303 ( 81.9) ","    66379 ( 79.9) ","    24376 ( 76.2) ","",""
"AKI = 1 (%)","     3341 (  0.2) ","     1305 (  0.1) ","     2036 (  4.6) ","<0.001","","        0 (  0.0) ","     3341 ( 13.1) ","<0.001","","     1685 (  0.2) ","     1409 (  0.3) ","       17 (  0.2) ","       41 (  0.2) ","       77 (  0.1) ","      112 (  0.4) ","<0.001",""
"ANEMIA = 1 (%)","    90080 (  5.7) ","    77104 (  5.0) ","    12976 ( 29.3) ","<0.001","","    79409 (  5.1) ","    10671 ( 41.8) ","<0.001","","    41896 (  4.4) ","    39669 (  8.0) ","      323 (  3.6) ","     1868 (  7.9) ","     4547 (  5.5) ","     1777 (  5.6) ","<0.001",""
"ASHD = 1 (%)","    31179 (  2.0) ","    25734 (  1.7) ","     5445 ( 12.3) ","<0.001","","    26547 (  1.7) ","     4632 ( 18.1) ","<0.001","","    18801 (  2.0) ","    10418 (  2.1) ","      151 (  1.7) ","      651 (  2.8) ","      552 (  0.7) ","      606 (  1.9) ","<0.001",""
"CABG = 1 (%)","      192 (  0.0) ","      137 (  0.0) ","       55 (  0.1) ","<0.001","","      128 (  0.0) ","       64 (  0.3) ","<0.001","","      144 (  0.0) ","       29 (  0.0) ","        2 (  0.0) ","        3 (  0.0) ","        4 (  0.0) ","       10 (  0.0) ","<0.001",""
"CANCER = 1 (%)","    19949 (  1.3) ","    16354 (  1.1) ","     3595 (  8.1) ","<0.001","","    17749 (  1.1) ","     2200 (  8.6) ","<0.001","","    12335 (  1.3) ","     6288 (  1.3) ","       82 (  0.9) ","      328 (  1.4) ","      428 (  0.5) ","      488 (  1.5) ","<0.001",""
"CASCEA = 1 (%)","       96 (  0.0) ","       78 (  0.0) ","       18 (  0.0) ","<0.001","","       75 (  0.0) ","       21 (  0.1) ","<0.001","","       75 (  0.0) ","       11 (  0.0) ","        2 (  0.0) ","        0 (  0.0) ","        2 (  0.0) ","        6 (  0.0) ","<0.001",""
"CHF = 1 (%)","    20922 (  1.3) ","    15849 (  1.0) ","     5073 ( 11.5) ","<0.001","","    15926 (  1.0) ","     4996 ( 19.6) ","<0.001","","    11630 (  1.2) ","     8101 (  1.6) ","       85 (  0.9) ","      275 (  1.2) ","      352 (  0.4) ","      479 (  1.5) ","<0.001",""
"CKD = 1 (%)","    25548 (  1.6) ","     4593 (  0.3) ","    20955 ( 47.4) ","<0.001","","        0 (  0.0) ","    25548 (100.0) ","<0.001","","    13062 (  1.4) ","    10615 (  2.2) ","       99 (  1.1) ","      354 (  1.5) ","      824 (  1.0) ","      594 (  1.9) ","<0.001",""
"CKD_STAGE_1 = 1 (%)","      377 (  0.0) ","        0 (  0.0) ","      377 (  0.9) ","<0.001","","        0 (  0.0) ","      377 (  1.5) ","<0.001","","      166 (  0.0) ","      186 (  0.0) ","        2 (  0.0) ","        3 (  0.0) ","        7 (  0.0) ","       13 (  0.0) ","<0.001",""
"CKD_STAGE_2 = 1 (%)","      716 (  0.0) ","        0 (  0.0) ","      716 (  1.6) ","<0.001","","        0 (  0.0) ","      716 (  2.8) ","<0.001","","      286 (  0.0) ","      384 (  0.1) ","        1 (  0.0) ","       16 (  0.1) ","       13 (  0.0) ","       16 (  0.1) ","<0.001",""
"CKD_STAGE_3 = 1 (%)","     2825 (  0.2) ","        0 (  0.0) ","     2825 (  6.4) ","<0.001","","        0 (  0.0) ","     2825 ( 11.1) ","<0.001","","     1349 (  0.1) ","     1291 (  0.3) ","        9 (  0.1) ","       49 (  0.2) ","       59 (  0.1) ","       68 (  0.2) ","<0.001",""
"CKD_STAGE_4 = 1 (%)","     1396 (  0.1) ","        0 (  0.0) ","     1396 (  3.2) ","<0.001","","        0 (  0.0) ","     1396 (  5.5) ","<0.001","","      657 (  0.1) ","      634 (  0.1) ","        4 (  0.0) ","       23 (  0.1) ","       44 (  0.1) ","       34 (  0.1) ","<0.001",""
"CKD_STAGE_5 = 1 (%)","     5694 (  0.4) ","      935 (  0.1) ","     4759 ( 10.8) ","<0.001","","        0 (  0.0) ","     5694 ( 22.3) ","<0.001","","     1951 (  0.2) ","     3366 (  0.7) ","       21 (  0.2) ","       98 (  0.4) ","      167 (  0.2) ","       91 (  0.3) ","<0.001",""
"CLINIC = 1 (%)","   328530 ( 20.7) ","   320219 ( 20.8) ","     8311 ( 18.8) ","<0.001","","   323639 ( 20.8) ","     4891 ( 19.1) ","<0.001","","   208003 ( 22.0) ","    81437 ( 16.5) ","     4130 ( 45.7) ","     2974 ( 12.6) ","    24380 ( 29.3) ","     7606 ( 23.8) ","<0.001",""
"COPD = 1 (%)","   147407 (  9.3) ","   138773 (  9.0) ","     8634 ( 19.5) ","<0.001","","   141887 (  9.1) ","     5520 ( 21.6) ","<0.001","","    83680 (  8.9) ","    53048 ( 10.8) ","      762 (  8.4) ","     1646 (  7.0) ","     5354 (  6.4) ","     2917 (  9.1) ","<0.001",""
"CVA = 1 (%)","    18388 (  1.2) ","    15187 (  1.0) ","     3201 (  7.2) ","<0.001","","    15803 (  1.0) ","     2585 ( 10.1) ","<0.001","","     9903 (  1.0) ","     7311 (  1.5) ","       81 (  0.9) ","      295 (  1.3) ","      327 (  0.4) ","      471 (  1.5) ","<0.001",""
"CVD_HOSP = 1 (%)","    15752 (  1.0) ","    14385 (  0.9) ","     1367 (  3.1) ","<0.001","","    14672 (  0.9) ","     1080 (  4.2) ","<0.001","","     9002 (  1.0) ","     5115 (  1.0) ","       90 (  1.0) ","      177 (  0.8) ","      737 (  0.9) ","      631 (  2.0) ","<0.001",""
"DIALYSIS = 1 (%)","     5550 (  0.4) ","      916 (  0.1) ","     4634 ( 10.5) ","<0.001","","       14 (  0.0) ","     5536 ( 21.7) ","<0.001","","     1903 (  0.2) ","     3289 (  0.7) ","       21 (  0.2) ","       94 (  0.4) ","      158 (  0.2) ","       85 (  0.3) ","<0.001",""
"DM = 1 (%)","    90499 (  5.7) ","    78907 (  5.1) ","    11592 ( 26.2) ","<0.001","","    81555 (  5.2) ","     8944 ( 35.0) ","<0.001","","    50476 (  5.3) ","    32764 (  6.6) ","      515 (  5.7) ","     1975 (  8.4) ","     3219 (  3.9) ","     1550 (  4.8) ","<0.001",""
"DYSRHYTH = 1 (%)","    26443 (  1.7) ","    21997 (  1.4) ","     4446 ( 10.0) ","<0.001","","    22583 (  1.4) ","     3860 ( 15.1) ","<0.001","","    15864 (  1.7) ","     8772 (  1.8) ","      129 (  1.4) ","      376 (  1.6) ","      585 (  0.7) ","      717 (  2.2) ","<0.001",""
"ED = 1 (%)","   655273 ( 41.4) ","   628460 ( 40.8) ","    26813 ( 60.6) ","<0.001","","   639231 ( 41.0) ","    16042 ( 62.8) ","<0.001","","   357082 ( 37.8) ","   243286 ( 49.3) ","     3940 ( 43.6) ","     5534 ( 23.5) ","    34338 ( 41.3) ","    11093 ( 34.7) ","<0.001",""
"GI = 1 (%)","    12915 (  0.8) ","    10770 (  0.7) ","     2145 (  4.8) ","<0.001","","    11142 (  0.7) ","     1773 (  6.9) ","<0.001","","     7583 (  0.8) ","     4362 (  0.9) ","       75 (  0.8) ","      245 (  1.0) ","      362 (  0.4) ","      288 (  0.9) ","<0.001",""
"HOMEHEALTH = 1 (%)","    14169 (  0.9) ","    10743 (  0.7) ","     3426 (  7.7) ","<0.001","","    11199 (  0.7) ","     2970 ( 11.6) ","<0.001","","     7372 (  0.8) ","     5298 (  1.1) ","       59 (  0.7) ","      167 (  0.7) ","      603 (  0.7) ","      670 (  2.1) ","<0.001",""
"HTN = 1 (%)","   123084 (  7.8) ","   106567 (  6.9) ","    16517 ( 37.3) ","<0.001","","   110315 (  7.1) ","    12769 ( 50.0) ","<0.001","","    58776 (  6.2) ","    56398 ( 11.4) ","      482 (  5.3) ","     2255 (  9.6) ","     2927 (  3.5) ","     2246 (  7.0) ","<0.001",""
"ICDCRTD = 1 (%)","      103 (  0.0) ","       62 (  0.0) ","       41 (  0.1) ","<0.001","","       56 (  0.0) ","       47 (  0.2) ","<0.001","","       53 (  0.0) ","       43 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        2 (  0.0) ","        5 (  0.0) "," 0.021",""
"INF_HOSP = 1 (%)","   622826 ( 39.3) ","   594793 ( 38.6) ","    28033 ( 63.4) ","<0.001","","   608150 ( 39.0) ","    14676 ( 57.4) ","<0.001","","   373884 ( 39.6) ","   192151 ( 39.0) ","     3533 ( 39.1) ","     8126 ( 34.5) ","    33625 ( 40.5) ","    11507 ( 36.0) ","<0.001",""
"LABXRAY = 1 (%)","  1086068 ( 68.5) ","  1046276 ( 67.9) ","    39792 ( 89.9) ","<0.001","","  1063674 ( 68.2) ","    22394 ( 87.7) ","<0.001","","   634029 ( 67.2) ","   351927 ( 71.4) ","     6179 ( 68.4) ","    14754 ( 62.6) ","    58394 ( 70.2) ","    20785 ( 65.0) ","<0.001",""
"LIVERDIS = 1 (%)","    10363 (  0.7) ","     8662 (  0.6) ","     1701 (  3.8) ","<0.001","","     9043 (  0.6) ","     1320 (  5.2) ","<0.001","","     6081 (  0.6) ","     3330 (  0.7) ","       79 (  0.9) ","      221 (  0.9) ","      423 (  0.5) ","      229 (  0.7) ","<0.001",""
"NONKIDNEYTX = 1 (%)","      602 (  0.0) ","      425 (  0.0) ","      177 (  0.4) ","<0.001","","      439 (  0.0) ","      163 (  0.6) ","<0.001","","      377 (  0.0) ","      167 (  0.0) ","        3 (  0.0) ","        7 (  0.0) ","       25 (  0.0) ","       23 (  0.1) "," 0.012",""
"NONPEDCONG = 1 (%)","    55430 (  3.5) ","    46145 (  3.0) ","     9285 ( 21.0) ","<0.001","","    47524 (  3.0) ","     7906 ( 30.9) ","<0.001","","    32028 (  3.4) ","    19860 (  4.0) ","      262 (  2.9) ","      992 (  4.2) ","     1039 (  1.2) ","     1249 (  3.9) ","<0.001",""
"OPHOSPITAL = 1 (%)","   764498 ( 48.2) ","   730594 ( 47.4) ","    33904 ( 76.6) ","<0.001","","   744086 ( 47.7) ","    20412 ( 79.9) ","<0.001","","   428038 ( 45.3) ","   271259 ( 55.0) ","     4546 ( 50.3) ","     7965 ( 33.8) ","    38915 ( 46.8) ","    13775 ( 43.1) ","<0.001",""
"OTHCARDIAC = 1 (%)","    38232 (  2.4) ","    33582 (  2.2) ","     4650 ( 10.5) ","<0.001","","    34552 (  2.2) ","     3680 ( 14.4) ","<0.001","","    22195 (  2.4) ","    13063 (  2.6) ","      177 (  2.0) ","      534 (  2.3) ","     1352 (  1.6) ","      911 (  2.8) ","<0.001",""
"PAD = 1 (%)","      342 (  0.0) ","      230 (  0.0) ","      112 (  0.3) ","<0.001","","      219 (  0.0) ","      123 (  0.5) ","<0.001","","      205 (  0.0) ","      113 (  0.0) ","        5 (  0.1) ","        2 (  0.0) ","        8 (  0.0) ","        9 (  0.0) "," 0.022",""
"PCI = 1 (%)","      485 (  0.0) ","      370 (  0.0) ","      115 (  0.3) ","<0.001","","      381 (  0.0) ","      104 (  0.4) ","<0.001","","      344 (  0.0) ","       96 (  0.0) ","        4 (  0.0) ","       13 (  0.1) ","        7 (  0.0) ","       21 (  0.1) ","<0.001",""
"PEDCKD = 1 (%)","    44242 (  2.8) ","        0 (  0.0) ","    44242 (100.0) ","<0.001","","    23287 (  1.5) ","    20955 ( 82.0) ","<0.001","","    25900 (  2.7) ","    15092 (  3.1) ","      204 (  2.3) ","      619 (  2.6) ","     1458 (  1.8) ","      969 (  3.0) ","<0.001",""
"PEDCONG = 1 (%)","     7215 (  0.5) ","     6683 (  0.4) ","      532 (  1.2) ","<0.001","","     6795 (  0.4) ","      420 (  1.6) ","<0.001","","     4454 (  0.5) ","     1797 (  0.4) ","       41 (  0.5) ","       83 (  0.4) ","      361 (  0.4) ","      479 (  1.5) ","<0.001",""
"PHYSICIANF = 1 (%)","  1402130 ( 88.5) ","  1359837 ( 88.3) ","    42293 ( 95.6) ","<0.001","","  1377774 ( 88.4) ","    24356 ( 95.3) ","<0.001","","   827526 ( 87.7) ","   446732 ( 90.6) ","     7427 ( 82.2) ","    21492 ( 91.2) ","    72153 ( 86.8) ","    26800 ( 83.8) ","<0.001",""
"PSYCH = 0 (%)","  1584688 (100.0) ","  1540446 (100.0) ","    44242 (100.0) "," NA","","  1559140 (100.0) ","    25548 (100.0) "," NA","","   943944 (100.0) ","   493045 (100.0) ","     9038 (100.0) ","    23561 (100.0) ","    83126 (100.0) ","    31974 (100.0) "," NA",""
"PVD = 1 (%)","    19906 (  1.3) ","    15654 (  1.0) ","     4252 (  9.6) ","<0.001","","    16324 (  1.0) ","     3582 ( 14.0) ","<0.001","","    11315 (  1.2) ","     7482 (  1.5) ","       82 (  0.9) ","      249 (  1.1) ","      336 (  0.4) ","      442 (  1.4) ","<0.001",""
"RCPNT_DLVRY = 1 (%)","    33561 (  2.1) ","    32759 (  2.1) ","      802 (  1.8) ","<0.001","","    33029 (  2.1) ","      532 (  2.1) "," 0.708","","    20353 (  2.2) ","     8000 (  1.6) ","      365 (  4.0) ","      559 (  2.4) ","     2960 (  3.6) ","     1324 (  4.1) ","<0.001",""
"SNF = 0 (%)","  1584688 (100.0) ","  1540446 (100.0) ","    44242 (100.0) "," NA","","  1559140 (100.0) ","    25548 (100.0) "," NA","","   943944 (100.0) ","   493045 (100.0) ","     9038 (100.0) ","    23561 (100.0) ","    83126 (100.0) ","    31974 (100.0) "," NA",""
"TRANSPLANT = 1 (%)","     1077 (  0.1) ","      467 (  0.0) ","      610 (  1.4) ","<0.001","","      460 (  0.0) ","      617 (  2.4) ","<0.001","","      585 (  0.1) ","      415 (  0.1) ","        1 (  0.0) ","       27 (  0.1) ","       38 (  0.0) ","       11 (  0.0) ","<0.001",""
"age (mean (sd))","-54304.01 (579.27)","-54317.62 (573.46)","-53830.44 (581.57)","<0.001","","-54313.98 (574.09)","-53695.88 (569.83)","<0.001","","-54284.94 (593.96)","-54306.11 (552.67)","-54376.40 (499.63)","-54152.44 (723.35)","-54517.44 (440.84)","-54371.07 (626.51)","<0.001",""
"died = 0 (%)","  1584688 (100.0) ","  1540446 (100.0) ","    44242 (100.0) "," NA","","  1559140 (100.0) ","    25548 (100.0) "," NA","","   943944 (100.0) ","   493045 (100.0) ","     9038 (100.0) ","    23561 (100.0) ","    83126 (100.0) ","    31974 (100.0) "," NA",""
