"","Overall","0","1","p","test","SMD","[0,5)","[5,10)","[10,14)","[14,18)","[18,22)","p","test","SMD","[0,5):0","[5,10):0","[10,14):0","[14,18):0","[18,22):0","[0,5):1","[5,10):1","[10,14):1","[14,18):1","[18,22):1","p","test","SMD"
"n","   908096","   899196","     8900","","","","   218870","   239636","   161162","   150276","   138152","","","","   217010","   237793","   159925","   148580","   135888","     1860","     1843","     1237","     1696","     2264","","",""
"EL_SEX_CD = M (%)","   450200 ( 49.6) ","   446362 ( 49.6) ","     3838 ( 43.1) ","<0.001",""," 0.131","   112290 ( 51.3) ","   123384 ( 51.5) ","    83209 ( 51.6) ","    75694 ( 50.4) ","    55623 ( 40.3) ","<0.001",""," 0.096","   111324 ( 51.3) ","   122591 ( 51.6) ","    82645 ( 51.7) ","    74916 ( 50.4) ","    54886 ( 40.4) ","      966 ( 51.9) ","      793 ( 43.0) ","      564 ( 45.6) ","      778 ( 45.9) ","      737 ( 32.6) ","<0.001",""," 0.144"
"race (%)","   ","   ","     ","<0.001",""," 0.175","   ","   ","   ","   ","   ","<0.001",""," 0.124","   ","   ","   ","   ","   ","     ","     ","     ","     ","     ","<0.001",""," 0.212"
"   White","   523193 ( 57.6) ","   517629 ( 57.6) ","     5564 ( 62.5) ","","","","   129582 ( 59.2) ","   139574 ( 58.2) ","    93484 ( 58.0) ","    85012 ( 56.6) ","    75541 ( 54.7) ","","","","   128410 ( 59.2) ","   138355 ( 58.2) ","    92724 ( 58.0) ","    84020 ( 56.5) ","    74120 ( 54.5) ","     1172 ( 63.0) ","     1219 ( 66.1) ","      760 ( 61.4) ","      992 ( 58.5) ","     1421 ( 62.8) ","","",""
"   Black","   283593 ( 31.2) ","   281365 ( 31.3) ","     2228 ( 25.0) ","","","","    63059 ( 28.8) ","    70016 ( 29.2) ","    49134 ( 30.5) ","    50852 ( 33.8) ","    50532 ( 36.6) ","","","","    62719 ( 28.9) ","    69643 ( 29.3) ","    48805 ( 30.5) ","    50322 ( 33.9) ","    49876 ( 36.7) ","      340 ( 18.3) ","      373 ( 20.2) ","      329 ( 26.6) ","      530 ( 31.2) ","      656 ( 29.0) ","","",""
"   Native American","     5571 (  0.6) ","     5522 (  0.6) ","       49 (  0.6) ","","","","     1108 (  0.5) ","     1537 (  0.6) ","     1113 (  0.7) ","      993 (  0.7) ","      820 (  0.6) ","","","","     1105 (  0.5) ","     1522 (  0.6) ","     1108 (  0.7) ","      986 (  0.7) ","      801 (  0.6) ","        3 (  0.2) ","       15 (  0.8) ","        5 (  0.4) ","        7 (  0.4) ","       19 (  0.8) ","","",""
"   Asian or PI","    12638 (  1.4) ","    12516 (  1.4) ","      122 (  1.4) ","","","","     2941 (  1.3) ","     3548 (  1.5) ","     2370 (  1.5) ","     2111 (  1.4) ","     1668 (  1.2) ","","","","     2912 (  1.3) ","     3522 (  1.5) ","     2349 (  1.5) ","     2097 (  1.4) ","     1636 (  1.2) ","       29 (  1.6) ","       26 (  1.4) ","       21 (  1.7) ","       14 (  0.8) ","       32 (  1.4) ","","",""
"   Hispanic","    61685 (  6.8) ","    61132 (  6.8) ","      553 (  6.2) ","","","","    15122 (  6.9) ","    19730 (  8.2) ","    11907 (  7.4) ","     8743 (  5.8) ","     6183 (  4.5) ","","","","    14979 (  6.9) ","    19581 (  8.2) ","    11822 (  7.4) ","     8643 (  5.8) ","     6107 (  4.5) ","      143 (  7.7) ","      149 (  8.1) ","       85 (  6.9) ","      100 (  5.9) ","       76 (  3.4) ","","",""
"   NA.","    21416 (  2.4) ","    21032 (  2.3) ","      384 (  4.3) ","","","","     7058 (  3.2) ","     5231 (  2.2) ","     3154 (  2.0) ","     2565 (  1.7) ","     3408 (  2.5) ","","","","     6885 (  3.2) ","     5170 (  2.2) ","     3117 (  1.9) ","     2512 (  1.7) ","     3348 (  2.5) ","      173 (  9.3) ","       61 (  3.3) ","       37 (  3.0) ","       53 (  3.1) ","       60 (  2.7) ","","",""
"total_elig_months (mean (sd))","    11.15 (1.88)","    11.15 (1.88)","    11.26 (1.74)","<0.001",""," 0.059","    10.74 (2.19)","    11.41 (1.58)","    11.46 (1.53)","    11.40 (1.62)","    10.72 (2.22)","<0.001",""," 0.226","    10.74 (2.19)","    11.41 (1.59)","    11.46 (1.53)","    11.39 (1.62)","    10.71 (2.22)","    10.63 (2.28)","    11.64 (1.22)","    11.65 (1.20)","    11.56 (1.34)","    11.02 (1.92)","<0.001",""," 0.262"
