"","Overall","0","1","p","test","SMD","[0,5)","[5,10)","[10,14)","[14,18)","[18,22)","p","test","SMD","[0,5):0","[5,10):0","[10,14):0","[14,18):0","[18,22):0","[0,5):1","[5,10):1","[10,14):1","[14,18):1","[18,22):1","p","test","SMD"
"elig_cat (%)","   ","   ","     "," NaN",""," 0.053","   ","   ","   ","   ","   "," NaN",""," 0.211","   ","   ","   ","   ","   ","     ","     ","     ","     ","     "," NaN",""," 0.238"
"   0 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   1-3 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   4-6 months","    51844 (  5.7) ","    51416 (  5.7) ","      428 (  4.8) ","","","","    19027 (  8.7) ","     8952 (  3.7) ","     5517 (  3.4) ","     5970 (  4.0) ","    12378 (  9.0) ","","","","    18840 (  8.7) ","     8914 (  3.7) ","     5497 (  3.4) ","     5926 (  4.0) ","    12239 (  9.0) ","      187 ( 10.1) ","       38 (  2.1) ","       20 (  1.6) ","       44 (  2.6) ","      139 (  6.1) ","","",""
"   7-9 months","    77239 (  8.5) ","    76558 (  8.5) ","      681 (  7.7) ","","","","    27982 ( 12.8) ","    14109 (  5.9) ","     8815 (  5.5) ","     9038 (  6.0) ","    17295 ( 12.5) ","","","","    27739 ( 12.8) ","    14036 (  5.9) ","     8761 (  5.5) ","     8953 (  6.0) ","    17069 ( 12.6) ","      243 ( 13.1) ","       73 (  4.0) ","       54 (  4.4) ","       85 (  5.0) ","      226 ( 10.0) ","","",""
"   9-12 months","   779013 ( 85.8) ","   771222 ( 85.8) ","     7791 ( 87.5) ","","","","   171861 ( 78.5) ","   216575 ( 90.4) ","   146830 ( 91.1) ","   135268 ( 90.0) ","   108479 ( 78.5) ","","","","   170431 ( 78.5) ","   214843 ( 90.3) ","   145667 ( 91.1) ","   133701 ( 90.0) ","   106580 ( 78.4) ","     1430 ( 76.9) ","     1732 ( 94.0) ","     1163 ( 94.0) ","     1567 ( 92.4) ","     1899 ( 83.9) ","","",""
"AKI = 1 (%)","      213 (  0.0) ","       85 (  0.0) ","      128 (  1.4) ","<0.001",""," 0.169","       56 (  0.0) ","       35 (  0.0) ","       12 (  0.0) ","       24 (  0.0) ","       86 (  0.1) ","<0.001",""," 0.014","       23 (  0.0) ","       13 (  0.0) ","        3 (  0.0) ","        7 (  0.0) ","       39 (  0.0) ","       33 (  1.8) ","       22 (  1.2) ","        9 (  0.7) ","       17 (  1.0) ","       47 (  2.1) ","<0.001",""," 0.105"
"ANEMIA = 1 (%)","    35834 (  3.9) ","    34877 (  3.9) ","      957 ( 10.8) ","<0.001",""," 0.266","    11453 (  5.2) ","     8380 (  3.5) ","     4251 (  2.6) ","     5166 (  3.4) ","     6584 (  4.8) ","<0.001",""," 0.067","    11267 (  5.2) ","     8244 (  3.5) ","     4158 (  2.6) ","     4992 (  3.4) ","     6216 (  4.6) ","      186 ( 10.0) ","      136 (  7.4) ","       93 (  7.5) ","      174 ( 10.3) ","      368 ( 16.3) ","<0.001",""," 0.182"
"ASHD = 1 (%)","      430 (  0.0) ","      412 (  0.0) ","       18 (  0.2) ","<0.001",""," 0.044","       21 (  0.0) ","       32 (  0.0) ","       32 (  0.0) ","      107 (  0.1) ","      238 (  0.2) ","<0.001",""," 0.028","       20 (  0.0) ","       32 (  0.0) ","       30 (  0.0) ","      103 (  0.1) ","      227 (  0.2) ","        1 (  0.1) ","        0 (  0.0) ","        2 (  0.2) ","        4 (  0.2) ","       11 (  0.5) ","<0.001",""," 0.042"
"CABG = 1 (%)","        1 (  0.0) ","        1 (  0.0) ","        0 (  0.0) "," 1.000",""," 0.001","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.0) "," 0.233",""," 0.002","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.771",""," 0.001"
"CANCER = 1 (%)","     1539 (  0.2) ","     1336 (  0.1) ","      203 (  2.3) ","<0.001",""," 0.196","      208 (  0.1) ","      340 (  0.1) ","      237 (  0.1) ","      263 (  0.2) ","      491 (  0.4) ","<0.001",""," 0.024","      173 (  0.1) ","      287 (  0.1) ","      202 (  0.1) ","      228 (  0.2) ","      446 (  0.3) ","       35 (  1.9) ","       53 (  2.9) ","       35 (  2.8) ","       35 (  2.1) ","       45 (  2.0) ","<0.001",""," 0.122"
"CASCEA = 1 (%)","        1 (  0.0) ","        1 (  0.0) ","        0 (  0.0) "," 1.000",""," 0.001","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.594",""," 0.001","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.971",""," 0.001"
"CHF = 1 (%)","      820 (  0.1) ","      700 (  0.1) ","      120 (  1.3) ","<0.001",""," 0.151","      283 (  0.1) ","      120 (  0.1) ","       94 (  0.1) ","      108 (  0.1) ","      215 (  0.2) ","<0.001",""," 0.018","      237 (  0.1) ","      110 (  0.0) ","       83 (  0.1) ","       95 (  0.1) ","      175 (  0.1) ","       46 (  2.5) ","       10 (  0.5) ","       11 (  0.9) ","       13 (  0.8) ","       40 (  1.8) ","<0.001",""," 0.099"
"CKD = 1 (%)","     3523 (  0.4) ","      316 (  0.0) ","     3207 ( 36.0) ","<0.001",""," 1.060","     1097 (  0.5) ","      653 (  0.3) ","      362 (  0.2) ","      463 (  0.3) ","      948 (  0.7) ","<0.001",""," 0.035","       41 (  0.0) ","       30 (  0.0) ","       28 (  0.0) ","       34 (  0.0) ","      183 (  0.1) ","     1056 ( 56.8) ","      623 ( 33.8) ","      334 ( 27.0) ","      429 ( 25.3) ","      765 ( 33.8) ","<0.001",""," 0.661"
"CKD_STAGE_1 = 1 (%)","       60 (  0.0) ","        0 (  0.0) ","       60 (  0.7) ","<0.001",""," 0.117","        9 (  0.0) ","       12 (  0.0) ","        4 (  0.0) ","       14 (  0.0) ","       21 (  0.0) ","<0.001",""," 0.007","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        9 (  0.5) ","       12 (  0.7) ","        4 (  0.3) ","       14 (  0.8) ","       21 (  0.9) ","<0.001",""," 0.071"
"CKD_STAGE_2 = 1 (%)","       71 (  0.0) ","        0 (  0.0) ","       71 (  0.8) ","<0.001",""," 0.127","        6 (  0.0) ","       16 (  0.0) ","        6 (  0.0) ","       16 (  0.0) ","       27 (  0.0) ","<0.001",""," 0.008","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        6 (  0.3) ","       16 (  0.9) ","        6 (  0.5) ","       16 (  0.9) ","       27 (  1.2) ","<0.001",""," 0.079"
"CKD_STAGE_3 = 1 (%)","       77 (  0.0) ","        0 (  0.0) ","       77 (  0.9) ","<0.001",""," 0.132","       10 (  0.0) ","       11 (  0.0) ","        7 (  0.0) ","       12 (  0.0) ","       37 (  0.0) ","<0.001",""," 0.008","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","       10 (  0.5) ","       11 (  0.6) ","        7 (  0.6) ","       12 (  0.7) ","       37 (  1.6) ","<0.001",""," 0.079"
"CKD_STAGE_4 = 1 (%)","       32 (  0.0) ","        0 (  0.0) ","       32 (  0.4) ","<0.001",""," 0.085","        5 (  0.0) ","        4 (  0.0) ","        3 (  0.0) ","       11 (  0.0) ","        9 (  0.0) "," 0.007",""," 0.005","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        5 (  0.3) ","        4 (  0.2) ","        3 (  0.2) ","       11 (  0.6) ","        9 (  0.4) ","<0.001",""," 0.053"
"CKD_STAGE_5 = 1 (%)","      121 (  0.0) ","       18 (  0.0) ","      103 (  1.2) ","<0.001",""," 0.153","        6 (  0.0) ","       15 (  0.0) ","       14 (  0.0) ","       28 (  0.0) ","       58 (  0.0) ","<0.001",""," 0.013","        0 (  0.0) ","        3 (  0.0) ","        3 (  0.0) ","        4 (  0.0) ","        8 (  0.0) ","        6 (  0.3) ","       12 (  0.7) ","       11 (  0.9) ","       24 (  1.4) ","       50 (  2.2) ","<0.001",""," 0.099"
"CLINIC = 1 (%)","   206656 ( 22.8) ","   204378 ( 22.7) ","     2278 ( 25.6) ","<0.001",""," 0.067","    56586 ( 25.9) ","    71969 ( 30.0) ","    23766 ( 14.7) ","    24319 ( 16.2) ","    30016 ( 21.7) ","<0.001",""," 0.197","    55991 ( 25.8) ","    71410 ( 30.0) ","    23538 ( 14.7) ","    23976 ( 16.1) ","    29463 ( 21.7) ","      595 ( 32.0) ","      559 ( 30.3) ","      228 ( 18.4) ","      343 ( 20.2) ","      553 ( 24.4) ","<0.001",""," 0.177"
"COPD = 1 (%)","    73181 (  8.1) ","    72152 (  8.0) ","     1029 ( 11.6) ","<0.001",""," 0.119","    18457 (  8.4) ","    21748 (  9.1) ","    13631 (  8.5) ","    10517 (  7.0) ","     8828 (  6.4) ","<0.001",""," 0.051","    18247 (  8.4) ","    21525 (  9.1) ","    13490 (  8.4) ","    10315 (  6.9) ","     8575 (  6.3) ","      210 ( 11.3) ","      223 ( 12.1) ","      141 ( 11.4) ","      202 ( 11.9) ","      253 ( 11.2) ","<0.001",""," 0.086"
"CVA = 1 (%)","     1172 (  0.1) ","     1081 (  0.1) ","       91 (  1.0) ","<0.001",""," 0.120","      350 (  0.2) ","      185 (  0.1) ","      149 (  0.1) ","      189 (  0.1) ","      299 (  0.2) ","<0.001",""," 0.019","      324 (  0.1) ","      174 (  0.1) ","      139 (  0.1) ","      173 (  0.1) ","      271 (  0.2) ","       26 (  1.4) ","       11 (  0.6) ","       10 (  0.8) ","       16 (  0.9) ","       28 (  1.2) ","<0.001",""," 0.077"
"CVD_HOSP = 1 (%)","     9811 (  1.1) ","     9445 (  1.1) ","      366 (  4.1) ","<0.001",""," 0.194","     4609 (  2.1) ","     2132 (  0.9) ","      983 (  0.6) ","     1030 (  0.7) ","     1057 (  0.8) ","<0.001",""," 0.057","     4423 (  2.0) ","     2078 (  0.9) ","      960 (  0.6) ","      991 (  0.7) ","      993 (  0.7) ","      186 ( 10.0) ","       54 (  2.9) ","       23 (  1.9) ","       39 (  2.3) ","       64 (  2.8) ","<0.001",""," 0.144"
"DIALYSIS = 1 (%)","      123 (  0.0) ","       20 (  0.0) ","      103 (  1.2) ","<0.001",""," 0.153","        8 (  0.0) ","       15 (  0.0) ","       15 (  0.0) ","       28 (  0.0) ","       57 (  0.0) ","<0.001",""," 0.013","        1 (  0.0) ","        3 (  0.0) ","        3 (  0.0) ","        4 (  0.0) ","        9 (  0.0) ","        7 (  0.4) ","       12 (  0.7) ","       12 (  1.0) ","       24 (  1.4) ","       48 (  2.1) ","<0.001",""," 0.099"
"DM = 1 (%)","     7273 (  0.8) ","     6959 (  0.8) ","      314 (  3.5) ","<0.001",""," 0.191","      237 (  0.1) ","      851 (  0.4) ","     1347 (  0.8) ","     2089 (  1.4) ","     2749 (  2.0) ","<0.001",""," 0.102","      229 (  0.1) ","      832 (  0.3) ","     1311 (  0.8) ","     2022 (  1.4) ","     2565 (  1.9) ","        8 (  0.4) ","       19 (  1.0) ","       36 (  2.9) ","       67 (  4.0) ","      184 (  8.1) ","<0.001",""," 0.161"
"DYSRHYTH = 1 (%)","     4916 (  0.5) ","     4653 (  0.5) ","      263 (  3.0) ","<0.001",""," 0.187","     1056 (  0.5) ","      791 (  0.3) ","      666 (  0.4) ","      951 (  0.6) ","     1452 (  1.1) ","<0.001",""," 0.042","      990 (  0.5) ","      764 (  0.3) ","      644 (  0.4) ","      907 (  0.6) ","     1348 (  1.0) ","       66 (  3.5) ","       27 (  1.5) ","       22 (  1.8) ","       44 (  2.6) ","      104 (  4.6) ","<0.001",""," 0.124"
"ED = 1 (%)","   375526 ( 41.4) ","   370365 ( 41.2) ","     5161 ( 58.0) ","<0.001",""," 0.341","   112592 ( 51.4) ","    91004 ( 38.0) ","    52837 ( 32.8) ","    53211 ( 35.4) ","    65882 ( 47.7) ","<0.001",""," 0.203","   111408 ( 51.3) ","    90052 ( 37.9) ","    52296 ( 32.7) ","    52337 ( 35.2) ","    64272 ( 47.3) ","     1184 ( 63.7) ","      952 ( 51.7) ","      541 ( 43.7) ","      874 ( 51.5) ","     1610 ( 71.1) ","<0.001",""," 0.296"
"GI = 1 (%)","     2762 (  0.3) ","     2626 (  0.3) ","      136 (  1.5) ","<0.001",""," 0.130","      818 (  0.4) ","      363 (  0.2) ","      286 (  0.2) ","      382 (  0.3) ","      913 (  0.7) ","<0.001",""," 0.040","      791 (  0.4) ","      342 (  0.1) ","      276 (  0.2) ","      364 (  0.2) ","      853 (  0.6) ","       27 (  1.5) ","       21 (  1.1) ","       10 (  0.8) ","       18 (  1.1) ","       60 (  2.7) ","<0.001",""," 0.088"
"HOMEHEALTH = 1 (%)","     3850 (  0.4) ","     3526 (  0.4) ","      324 (  3.6) ","<0.001",""," 0.233","     2422 (  1.1) ","      354 (  0.1) ","      246 (  0.2) ","      250 (  0.2) ","      578 (  0.4) ","<0.001",""," 0.060","     2270 (  1.0) ","      314 (  0.1) ","      223 (  0.1) ","      210 (  0.1) ","      509 (  0.4) ","      152 (  8.2) ","       40 (  2.2) ","       23 (  1.9) ","       40 (  2.4) ","       69 (  3.0) ","<0.001",""," 0.163"
"HTN = 1 (%)","     6392 (  0.7) ","     5673 (  0.6) ","      719 (  8.1) ","<0.001",""," 0.371","      309 (  0.1) ","      555 (  0.2) ","      829 (  0.5) ","     1671 (  1.1) ","     3028 (  2.2) ","<0.001",""," 0.103","      236 (  0.1) ","      483 (  0.2) ","      732 (  0.5) ","     1483 (  1.0) ","     2739 (  2.0) ","       73 (  3.9) ","       72 (  3.9) ","       97 (  7.8) ","      188 ( 11.1) ","      289 ( 12.8) ","<0.001",""," 0.256"
"ICDCRTD = 1 (%)","        2 (  0.0) ","        2 (  0.0) ","        0 (  0.0) "," 1.000",""," 0.002","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) "," 0.572",""," 0.002","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.966",""," 0.001"
"INF_HOSP = 1 (%)","   382562 ( 42.1) ","   376625 ( 41.9) ","     5937 ( 66.7) ","<0.001",""," 0.515","   113504 ( 51.9) ","   102964 ( 43.0) ","    55841 ( 34.6) ","    51829 ( 34.5) ","    58424 ( 42.3) ","<0.001",""," 0.176","   112166 ( 51.7) ","   101683 ( 42.8) ","    55132 ( 34.5) ","    50860 ( 34.2) ","    56784 ( 41.8) ","     1338 ( 71.9) ","     1281 ( 69.5) ","      709 ( 57.3) ","      969 ( 57.1) ","     1640 ( 72.4) ","<0.001",""," 0.371"
"LABXRAY = 1 (%)","   605368 ( 66.7) ","   596647 ( 66.4) ","     8721 ( 98.0) ","<0.001",""," 0.908","   154291 ( 70.5) ","   146170 ( 61.0) ","    97076 ( 60.2) ","   101726 ( 67.7) ","   106105 ( 76.8) ","<0.001",""," 0.185","   152464 ( 70.3) ","   144382 ( 60.7) ","    95869 ( 59.9) ","   100052 ( 67.3) ","   103880 ( 76.4) ","     1827 ( 98.2) ","     1788 ( 97.0) ","     1207 ( 97.6) ","     1674 ( 98.7) ","     2225 ( 98.3) ","<0.001",""," 0.551"
"LIVERDIS = 1 (%)","     1273 (  0.1) ","     1171 (  0.1) ","      102 (  1.1) ","<0.001",""," 0.128","      118 (  0.1) ","      121 (  0.1) ","      181 (  0.1) ","      297 (  0.2) ","      556 (  0.4) ","<0.001",""," 0.039","      102 (  0.0) ","      107 (  0.0) ","      169 (  0.1) ","      273 (  0.2) ","      520 (  0.4) ","       16 (  0.9) ","       14 (  0.8) ","       12 (  1.0) ","       24 (  1.4) ","       36 (  1.6) ","<0.001",""," 0.085"
"NONKIDNEYTX = 1 (%)","      226 (  0.0) ","      178 (  0.0) ","       48 (  0.5) ","<0.001",""," 0.099","       41 (  0.0) ","       66 (  0.0) ","       49 (  0.0) ","       32 (  0.0) ","       38 (  0.0) "," 0.129",""," 0.004","       32 (  0.0) ","       53 (  0.0) ","       39 (  0.0) ","       25 (  0.0) ","       29 (  0.0) ","        9 (  0.5) ","       13 (  0.7) ","       10 (  0.8) ","        7 (  0.4) ","        9 (  0.4) ","<0.001",""," 0.063"
"NONPEDCONG = 1 (%)","     3632 (  0.4) ","     3370 (  0.4) ","      262 (  2.9) ","<0.001",""," 0.202","      919 (  0.4) ","      456 (  0.2) ","      345 (  0.2) ","      682 (  0.5) ","     1230 (  0.9) ","<0.001",""," 0.048","      850 (  0.4) ","      430 (  0.2) ","      321 (  0.2) ","      637 (  0.4) ","     1132 (  0.8) ","       69 (  3.7) ","       26 (  1.4) ","       24 (  1.9) ","       45 (  2.7) ","       98 (  4.3) ","<0.001",""," 0.134"
"OPHOSPITAL = 1 (%)","   425597 ( 46.9) ","   418922 ( 46.6) ","     6675 ( 75.0) ","<0.001",""," 0.608","   122877 ( 56.1) ","   105850 ( 44.2) ","    62410 ( 38.7) ","    61191 ( 40.7) ","    73269 ( 53.0) ","<0.001",""," 0.191","   121331 ( 55.9) ","   104486 ( 43.9) ","    61608 ( 38.5) ","    60075 ( 40.4) ","    71422 ( 52.6) ","     1546 ( 83.1) ","     1364 ( 74.0) ","      802 ( 64.8) ","     1116 ( 65.8) ","     1847 ( 81.6) ","<0.001",""," 0.432"
"OTHCARDIAC = 1 (%)","    12408 (  1.4) ","    11981 (  1.3) ","      427 (  4.8) ","<0.001",""," 0.202","     4006 (  1.8) ","     2397 (  1.0) ","     1318 (  0.8) ","     1874 (  1.2) ","     2813 (  2.0) ","<0.001",""," 0.056","     3879 (  1.8) ","     2341 (  1.0) ","     1280 (  0.8) ","     1812 (  1.2) ","     2669 (  2.0) ","      127 (  6.8) ","       56 (  3.0) ","       38 (  3.1) ","       62 (  3.7) ","      144 (  6.4) ","<0.001",""," 0.138"
"PAD = 1 (%)","       20 (  0.0) ","       16 (  0.0) ","        4 (  0.0) ","<0.001",""," 0.028","        7 (  0.0) ","        3 (  0.0) ","        0 (  0.0) ","        2 (  0.0) ","        8 (  0.0) "," 0.007",""," 0.006","        7 (  0.0) ","        3 (  0.0) ","        0 (  0.0) ","        2 (  0.0) ","        4 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        4 (  0.2) ","<0.001",""," 0.015"
"PCI = 1 (%)","        3 (  0.0) ","        3 (  0.0) ","        0 (  0.0) "," 1.000",""," 0.003","        3 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.051",""," 0.002","        3 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.388",""," 0.001"
"PEDCKD = 1 (%)","     8900 (  1.0) ","        0 (  0.0) ","     8900 (100.0) ","<0.001",""," NaN","     1860 (  0.8) ","     1843 (  0.8) ","     1237 (  0.8) ","     1696 (  1.1) ","     2264 (  1.6) ","<0.001",""," 0.040","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","     1860 (100.0) ","     1843 (100.0) ","     1237 (100.0) ","     1696 (100.0) ","     2264 (100.0) ","<0.001",""," NaN"
"PEDCONG = 1 (%)","     5615 (  0.6) ","     5330 (  0.6) ","      285 (  3.2) ","<0.001",""," 0.192","     3053 (  1.4) ","     1077 (  0.4) ","      579 (  0.4) ","      487 (  0.3) ","      419 (  0.3) ","<0.001",""," 0.052","     2880 (  1.3) ","     1040 (  0.4) ","      562 (  0.4) ","      461 (  0.3) ","      387 (  0.3) ","      173 (  9.3) ","       37 (  2.0) ","       17 (  1.4) ","       26 (  1.5) ","       32 (  1.4) ","<0.001",""," 0.138"
"PHYSICIANF = 1 (%)","   820181 ( 90.3) ","   811520 ( 90.2) ","     8661 ( 97.3) ","<0.001",""," 0.296","   208723 ( 95.4) ","   214529 ( 89.5) ","   142656 ( 88.5) ","   132562 ( 88.2) ","   121711 ( 88.1) ","<0.001",""," 0.115","   206877 ( 95.3) ","   212741 ( 89.5) ","   141462 ( 88.5) ","   130935 ( 88.1) ","   119505 ( 87.9) ","     1846 ( 99.2) ","     1788 ( 97.0) ","     1194 ( 96.5) ","     1627 ( 95.9) ","     2206 ( 97.4) ","<0.001",""," 0.214"
"PSYCH = 0 (%)","   908096 (100.0) ","   899196 (100.0) ","     8900 (100.0) "," NA","","<0.001","   218870 (100.0) ","   239636 (100.0) ","   161162 (100.0) ","   150276 (100.0) ","   138152 (100.0) "," NA","","<0.001","   217010 (100.0) ","   237793 (100.0) ","   159925 (100.0) ","   148580 (100.0) ","   135888 (100.0) ","     1860 (100.0) ","     1843 (100.0) ","     1237 (100.0) ","     1696 (100.0) ","     2264 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","      918 (  0.1) ","      789 (  0.1) ","      129 (  1.4) ","<0.001",""," 0.156","      205 (  0.1) ","       75 (  0.0) ","      104 (  0.1) ","      179 (  0.1) ","      355 (  0.3) ","<0.001",""," 0.029","      175 (  0.1) ","       70 (  0.0) ","       92 (  0.1) ","      154 (  0.1) ","      298 (  0.2) ","       30 (  1.6) ","        5 (  0.3) ","       12 (  1.0) ","       25 (  1.5) ","       57 (  2.5) ","<0.001",""," 0.104"
"RCPNT_DLVRY = 1 (%)","    21818 (  2.4) ","    21458 (  2.4) ","      360 (  4.0) ","<0.001",""," 0.094","    18581 (  8.5) ","        1 (  0.0) ","        3 (  0.0) ","      183 (  0.1) ","     3050 (  2.2) ","<0.001",""," 0.229","    18309 (  8.4) ","        1 (  0.0) ","        3 (  0.0) ","      178 (  0.1) ","     2967 (  2.2) ","      272 ( 14.6) ","        0 (  0.0) ","        0 (  0.0) ","        5 (  0.3) ","       83 (  3.7) ","<0.001",""," 0.245"
