county,year,pts,pedckd,htn,dm,ed,anemia,fips,pop,pedckd_per_1000_pts,polyname
marquette,2013,9271,122,449,435,3394,181,26103,67178,13.15931399,"michigan,marquette"
presque isle,2013,2421,31,154,151,580,48,26141,13368,12.80462619,"michigan,presque isle"
houghton,2013,5597,70,260,266,2169,186,26061,36519,12.50670002,"michigan,houghton"
otsego,2013,5427,66,253,277,1689,252,26137,24175,12.16141515,"michigan,otsego"
luce,2013,1234,15,71,68,488,25,26095,6590,12.15559157,"michigan,luce"
missaukee,2013,2871,34,166,159,906,143,26113,14945,11.84256357,"michigan,missaukee"
gogebic,2013,3071,36,211,186,1261,92,26053,16297,11.72256594,"michigan,gogebic"
leelanau,2013,1675,19,78,72,403,42,26089,21677,11.34328358,"michigan,leelanau"
menominee,2013,3629,40,226,194,1236,84,26109,24041,11.0223202,"michigan,menominee"
emmet,2013,5037,53,225,230,1584,168,26047,32799,10.52213619,"michigan,emmet"
charlevoix,2013,4391,42,182,233,1579,123,26029,26057,9.565019358,"michigan,charlevoix"
oscoda,2013,1558,14,110,92,575,43,26135,8709,8.985879332,"michigan,oscoda"
