COUNTY,year,n,CKD,htn,dm,ed,anemia
165,2008,7218,69,335,324,2335,348
1,2009,1622,26,101,91,478,55
3,2009,1326,21,81,70,488,51
5,2009,14593,184,551,612,5648,243
7,2009,5830,102,374,359,2484,128
9,2009,3943,39,142,194,1179,111
11,2009,3869,49,260,246,1546,197
13,2009,1381,20,81,74,453,34
15,2009,7025,76,265,272,2758,136
17,2009,18563,237,1054,972,7299,490
19,2009,2592,27,110,117,873,52
21,2009,31572,584,2155,1761,12741,1045
23,2009,8666,121,453,343,3806,211
25,2009,29870,469,1897,1618,11856,1395
27,2009,8213,114,454,386,2875,176
29,2009,4283,43,158,173,1453,135
31,2009,4659,66,213,211,1373,126
33,2009,6018,62,319,274,1958,172
35,2009,7851,124,576,465,3263,233
37,2009,12077,158,603,493,5042,352
39,2009,2396,39,128,128,1132,83
41,2009,6439,69,302,326,2235,138
43,2009,4246,46,166,165,1513,82
45,2009,13531,157,609,499,5717,351
47,2009,5008,48,177,201,1489,115
49,2009,96154,1817,8127,5164,39932,5011
51,2009,5284,104,394,327,2662,413
53,2009,3013,18,178,133,1100,69
55,2009,12725,128,498,444,3712,282
57,2009,8214,109,448,386,2896,241
59,2009,8229,87,417,375,3725,156
61,2009,5624,68,314,265,1633,138
63,2009,5746,79,402,284,2314,150
65,2009,39457,592,2360,1854,15322,1452
67,2009,10173,150,494,507,4499,289
69,2009,5076,64,335,283,1956,202
71,2009,2241,34,134,113,559,58
73,2009,8937,111,468,424,3256,280
75,2009,28364,396,1730,1211,10718,719
77,2009,39636,609,2428,1782,17722,1184
79,2009,3719,30,153,152,1267,98
81,2009,102517,1518,5345,4260,38692,3185
83,2009,247,2,14,8,67,4
85,2009,2563,50,204,220,1071,102
87,2009,11623,144,538,486,4084,489
89,2009,1551,14,61,57,413,37
91,2009,15590,211,772,722,6474,536
93,2009,11326,134,448,358,4417,341
95,2009,1214,6,57,70,416,23
97,2009,1565,19,71,63,516,34
99,2009,111756,1692,8912,6731,43443,8956
101,2009,4208,72,230,250,1764,153
103,2009,9094,104,375,348,3324,290
105,2009,5575,68,303,248,2615,236
107,2009,7325,97,416,317,3289,222
109,2009,3592,48,174,132,1402,63
111,2009,10632,189,558,527,3636,314
113,2009,2589,32,116,120,878,131
115,2009,19720,301,1391,937,8445,981
117,2009,12623,155,643,575,5703,302
119,2009,2223,34,123,115,640,67
121,2009,40143,695,2294,2040,19585,1339
123,2009,9392,128,419,394,3710,304
125,2009,118233,2026,10303,7358,45098,9110
127,2009,6846,77,299,354,3118,254
129,2009,4487,58,319,265,1741,301
131,2009,1049,9,63,40,288,29
133,2009,5673,70,344,276,2390,173
135,2009,1521,31,102,100,543,57
137,2009,5079,71,204,235,1516,206
139,2009,29364,335,890,887,9900,540
141,2009,2242,29,98,113,575,44
143,2009,5521,84,377,337,2025,163
145,2009,42776,687,3601,2748,19793,1959
147,2009,29047,328,1818,1378,11132,832
149,2009,12643,134,580,553,5796,297
151,2009,8391,110,561,445,3076,274
153,2009,1656,17,101,89,500,40
155,2009,11838,122,503,445,4060,272
157,2009,10350,125,530,443,3718,256
159,2009,16474,193,830,798,6656,459
161,2009,32573,554,1956,1423,12903,992
163,2009,437245,9285,49510,31741,191624,41002
165,2009,7652,75,386,349,2640,271
1,2010,1727,35,132,107,481,52
3,2010,1384,18,88,82,493,55
5,2010,15645,227,648,664,6152,294
7,2010,6095,110,399,375,2542,153
9,2010,4205,50,175,224,1229,112
11,2010,3976,67,296,225,1612,144
13,2010,1454,24,87,69,510,37
15,2010,7575,94,282,296,3486,149
17,2010,19456,297,1116,964,7639,575
19,2010,2760,36,123,127,955,57
21,2010,32984,579,2232,1784,13179,1205
23,2010,9201,131,492,364,4074,201
25,2010,31048,554,2111,1624,12012,953
27,2010,8594,109,495,402,3042,174
29,2010,4540,45,154,179,1579,127
31,2010,4846,54,224,224,1853,122
33,2010,6304,71,345,289,2157,186
35,2010,8352,147,590,494,3507,255
37,2010,12649,152,584,511,5299,396
39,2010,2621,46,148,136,1197,94
41,2010,6817,69,321,320,2334,154
43,2010,4377,48,178,157,1527,88
45,2010,14556,206,591,527,6116,354
47,2010,5185,50,187,199,1711,116
49,2010,101031,1937,8533,5553,39966,5694
51,2010,5475,109,432,354,2680,476
53,2010,3071,26,187,136,1107,76
55,2010,13573,152,500,438,4047,276
57,2010,8439,102,464,383,2926,229
59,2010,8722,120,453,392,3561,186
61,2010,5843,76,302,261,2031,155
63,2010,5953,80,442,302,2207,184
65,2010,41258,691,2457,1893,16060,1593
67,2010,10784,196,546,510,4678,264
69,2010,5613,78,442,314,2109,174
71,2010,2278,40,122,93,583,52
73,2010,9461,137,532,434,3675,333
75,2010,30231,462,1903,1329,11490,754
77,2010,42268,649,2619,1900,18430,1334
79,2010,3973,50,181,184,1166,128
81,2010,109898,1833,5669,4426,40522,3538
83,2010,275,3,8,5,88,5
85,2010,2662,52,204,195,1148,109
87,2010,12850,165,666,545,4466,478
89,2010,1603,14,65,49,414,27
91,2010,16837,231,958,786,6921,569
93,2010,12875,171,425,370,4952,315
95,2010,1269,15,71,66,471,28
97,2010,1671,18,73,65,537,35
99,2010,125144,1966,10098,7436,47694,10146
101,2010,4326,81,270,250,1877,142
103,2010,9545,110,380,389,3457,320
105,2010,5931,98,315,255,2698,253
107,2010,7872,116,470,347,3521,246
109,2010,3769,45,191,120,1413,79
111,2010,11139,172,594,542,3894,316
113,2010,2757,36,129,122,891,118
115,2010,21571,405,1514,1023,9025,1068
117,2010,13274,203,679,598,6130,309
119,2010,2203,34,145,135,639,63
