"","Overall","0","1","p","test","0","1","p","test","White","Black","Native American","Asian or PI","Hispanic","NA.","p","test"
"CANCER = 1 (%)","    17979 (  1.2) ","    14694 (  1.0) ","     3285 (  8.3) ","<0.001","","    16088 (  1.1) ","     1891 (  8.4) ","<0.001","","    11234 (  1.3) ","     5765 (  1.2) ","       55 (  0.7) ","      275 (  1.3) ","      404 (  0.5) ","      246 (  1.3) ","<0.001",""
"CASCEA = 1 (%)","       93 (  0.0) ","       64 (  0.0) ","       29 (  0.1) ","<0.001","","       65 (  0.0) ","       28 (  0.1) ","<0.001","","       76 (  0.0) ","       10 (  0.0) ","        0 (  0.0) ","        4 (  0.0) ","        1 (  0.0) ","        2 (  0.0) ","<0.001",""
"CHF = 1 (%)","    21594 (  1.5) ","    16462 (  1.2) ","     5132 ( 13.0) ","<0.001","","    16765 (  1.2) ","     4829 ( 21.4) ","<0.001","","    12152 (  1.4) ","     8455 (  1.8) ","       57 (  0.7) ","      259 (  1.3) ","      376 (  0.5) ","      295 (  1.6) ","<0.001",""
"CKD = 1 (%)","    22553 (  1.5) ","     3949 (  0.3) ","    18604 ( 47.2) ","<0.001","","        0 (  0.0) ","    22553 (100.0) ","<0.001","","    11664 (  1.3) ","     9504 (  2.0) ","       72 (  0.9) ","      323 (  1.6) ","      717 (  1.0) ","      273 (  1.5) ","<0.001",""
"CKD_STAGE_1 = 1 (%)","      351 (  0.0) ","        0 (  0.0) ","      351 (  0.9) ","<0.001","","        0 (  0.0) ","      351 (  1.6) ","<0.001","","      158 (  0.0) ","      173 (  0.0) ","        1 (  0.0) ","        3 (  0.0) ","       11 (  0.0) ","        5 (  0.0) ","<0.001",""
"CKD_STAGE_2 = 1 (%)","      661 (  0.0) ","        0 (  0.0) ","      661 (  1.7) ","<0.001","","        0 (  0.0) ","      661 (  2.9) ","<0.001","","      269 (  0.0) ","      363 (  0.1) ","        0 (  0.0) ","        8 (  0.0) ","       12 (  0.0) ","        9 (  0.0) ","<0.001",""
"CKD_STAGE_3 = 1 (%)","     2413 (  0.2) ","        0 (  0.0) ","     2413 (  6.1) ","<0.001","","        0 (  0.0) ","     2413 ( 10.7) ","<0.001","","     1155 (  0.1) ","     1130 (  0.2) ","        1 (  0.0) ","       45 (  0.2) ","       56 (  0.1) ","       26 (  0.1) ","<0.001",""
"CKD_STAGE_4 = 1 (%)","     1232 (  0.1) ","        0 (  0.0) ","     1232 (  3.1) ","<0.001","","        0 (  0.0) ","     1232 (  5.5) ","<0.001","","      558 (  0.1) ","      594 (  0.1) ","        2 (  0.0) ","       29 (  0.1) ","       36 (  0.0) ","       13 (  0.1) ","<0.001",""
"CKD_STAGE_5 = 1 (%)","     5429 (  0.4) ","      910 (  0.1) ","     4519 ( 11.5) ","<0.001","","        0 (  0.0) ","     5429 ( 24.1) ","<0.001","","     1928 (  0.2) ","     3175 (  0.7) ","       16 (  0.2) ","       98 (  0.5) ","      155 (  0.2) ","       57 (  0.3) ","<0.001",""
"CLINIC = 1 (%)","   301366 ( 20.6) ","   294649 ( 20.7) ","     6717 ( 17.0) ","<0.001","","   297530 ( 20.6) ","     3836 ( 17.0) ","<0.001","","   186221 ( 21.4) ","    82949 ( 17.5) ","     3044 ( 39.1) ","     2654 ( 12.9) ","    21469 ( 28.7) ","     5029 ( 27.1) ","<0.001",""
"COPD = 1 (%)","   133830 (  9.1) ","   126025 (  8.8) ","     7805 ( 19.8) ","<0.001","","   128848 (  8.9) ","     4982 ( 22.1) ","<0.001","","    76670 (  8.8) ","    49005 ( 10.3) ","      603 (  7.7) ","     1455 (  7.1) ","     4860 (  6.5) ","     1237 (  6.7) ","<0.001",""
"CVA = 1 (%)","    18070 (  1.2) ","    15005 (  1.1) ","     3065 (  7.8) ","<0.001","","    15689 (  1.1) ","     2381 ( 10.6) ","<0.001","","     9949 (  1.1) ","     7114 (  1.5) ","       57 (  0.7) ","      347 (  1.7) ","      338 (  0.5) ","      265 (  1.4) ","<0.001",""
"CVD_HOSP = 1 (%)","    15341 (  1.0) ","    14060 (  1.0) ","     1281 (  3.3) ","<0.001","","    14352 (  1.0) ","      989 (  4.4) ","<0.001","","     8861 (  1.0) ","     5187 (  1.1) ","       91 (  1.2) ","      160 (  0.8) ","      786 (  1.1) ","      256 (  1.4) ","<0.001",""
"DIALYSIS = 1 (%)","     5290 (  0.4) ","      891 (  0.1) ","     4399 ( 11.2) ","<0.001","","       10 (  0.0) ","     5280 ( 23.4) ","<0.001","","     1881 (  0.2) ","     3090 (  0.7) ","       16 (  0.2) ","       94 (  0.5) ","      153 (  0.2) ","       56 (  0.3) ","<0.001",""
