"","Overall","[0,5)","[5,11)","[11,14)","[14,19)","[19,22)","p","test","SMD","[0,5):0","[5,11):0","[11,14):0","[14,19):0","[19,22):0","[0,5):1","[5,11):1","[11,14):1","[14,19):1","[19,22):1","p","test","SMD"
"   7-9 months","    78487 (  9.3) ","    28763 ( 13.3) ","    16471 (  6.4) ","     6546 (  6.2) ","    11782 (  6.7) ","    14925 ( 16.9) ","","","","    28576 ( 13.3) ","    16442 (  6.4) ","     6535 (  6.2) ","    11752 (  6.7) ","    14827 ( 16.9) ","      187 ( 16.6) ","       29 (  4.6) ","       11 (  4.6) ","       30 (  5.5) ","       98 ( 14.5) ","","",""
"   9-12 months","   709913 ( 83.9) ","   162052 ( 74.8) ","   232299 ( 89.7) ","    95794 ( 90.3) ","   156801 ( 89.2) ","    62967 ( 71.4) ","","","","   161275 ( 74.8) ","   231711 ( 89.7) ","    95570 ( 90.3) ","   156300 ( 89.2) ","    62441 ( 71.4) ","      777 ( 69.1) ","      588 ( 93.0) ","      224 ( 93.3) ","      501 ( 91.4) ","      526 ( 77.8) ","","",""
"AKI = 1 (%)","      191 (  0.0) ","       69 (  0.0) ","       14 (  0.0) ","        9 (  0.0) ","       34 (  0.0) ","       65 (  0.1) ","<0.001",""," 0.018","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","       69 (  6.1) ","       14 (  2.2) ","        9 (  3.8) ","       34 (  6.2) ","       65 (  9.6) ","<0.001",""," 0.220"
"ANEMIA = 1 (%)","    32243 (  3.8) ","    10551 (  4.9) ","     8252 (  3.2) ","     2760 (  2.6) ","     6077 (  3.5) ","     4603 (  5.2) ","<0.001",""," 0.072","    10430 (  4.8) ","     8195 (  3.2) ","     2736 (  2.6) ","     6000 (  3.4) ","     4427 (  5.1) ","      121 ( 10.8) ","       57 (  9.0) ","       24 ( 10.0) ","       77 ( 14.1) ","      176 ( 26.0) ","<0.001",""," 0.257"
"ASHD = 1 (%)","      497 (  0.1) ","       37 (  0.0) ","       38 (  0.0) ","       30 (  0.0) ","      197 (  0.1) ","      195 (  0.2) ","<0.001",""," 0.033","       35 (  0.0) ","       37 (  0.0) ","       30 (  0.0) ","      194 (  0.1) ","      182 (  0.2) ","        2 (  0.2) ","        1 (  0.2) ","        0 (  0.0) ","        3 (  0.5) ","       13 (  1.9) ","<0.001",""," 0.071"
"CABG = 0 (%)","   845788 (100.0) ","   216602 (100.0) ","   259080 (100.0) ","   106081 (100.0) ","   175857 (100.0) ","    88168 (100.0) "," NA","","<0.001","   215478 (100.0) ","   258448 (100.0) ","   105841 (100.0) ","   175309 (100.0) ","    87492 (100.0) ","     1124 (100.0) ","      632 (100.0) ","      240 (100.0) ","      548 (100.0) ","      676 (100.0) "," NA","","<0.001"
"CANCER = 1 (%)","     1480 (  0.2) ","      208 (  0.1) ","      354 (  0.1) ","      167 (  0.2) ","      363 (  0.2) ","      388 (  0.4) ","<0.001",""," 0.031","      172 (  0.1) ","      311 (  0.1) ","      149 (  0.1) ","      335 (  0.2) ","      358 (  0.4) ","       36 (  3.2) ","       43 (  6.8) ","       18 (  7.5) ","       28 (  5.1) ","       30 (  4.4) ","<0.001",""," 0.205"
"CASCEA = 0 (%)","   845788 (100.0) ","   216602 (100.0) ","   259080 (100.0) ","   106081 (100.0) ","   175857 (100.0) ","    88168 (100.0) "," NA","","<0.001","   215478 (100.0) ","   258448 (100.0) ","   105841 (100.0) ","   175309 (100.0) ","    87492 (100.0) ","     1124 (100.0) ","      632 (100.0) ","      240 (100.0) ","      548 (100.0) ","      676 (100.0) "," NA","","<0.001"
"CHF = 1 (%)","      888 (  0.1) ","      299 (  0.1) ","      153 (  0.1) ","       72 (  0.1) ","      183 (  0.1) ","      181 (  0.2) ","<0.001",""," 0.021","      260 (  0.1) ","      144 (  0.1) ","       68 (  0.1) ","      166 (  0.1) ","      157 (  0.2) ","       39 (  3.5) ","        9 (  1.4) ","        4 (  1.7) ","       17 (  3.1) ","       24 (  3.6) ","<0.001",""," 0.141"
"CKD = 1 (%)","     3220 (  0.4) ","     1124 (  0.5) ","      632 (  0.2) ","      240 (  0.2) ","      548 (  0.3) ","      676 (  0.8) ","<0.001",""," 0.040","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","     1124 (100.0) ","      632 (100.0) ","      240 (100.0) ","      548 (100.0) ","      676 (100.0) ","<0.001",""," NaN"
"CKD_STAGE_1 = 1 (%)","       49 (  0.0) ","        4 (  0.0) ","        7 (  0.0) ","        3 (  0.0) ","       14 (  0.0) ","       21 (  0.0) ","<0.001",""," 0.010","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        4 (  0.4) ","        7 (  1.1) ","        3 (  1.2) ","       14 (  2.6) ","       21 (  3.1) ","<0.001",""," 0.122"
"CKD_STAGE_2 = 1 (%)","       52 (  0.0) ","        4 (  0.0) ","        4 (  0.0) ","       10 (  0.0) ","       14 (  0.0) ","       20 (  0.0) ","<0.001",""," 0.010","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        4 (  0.4) ","        4 (  0.6) ","       10 (  4.2) ","       14 (  2.6) ","       20 (  3.0) ","<0.001",""," 0.139"
"CKD_STAGE_3 = 1 (%)","       73 (  0.0) ","        4 (  0.0) ","        8 (  0.0) ","        8 (  0.0) ","       26 (  0.0) ","       27 (  0.0) ","<0.001",""," 0.012","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        4 (  0.4) ","        8 (  1.3) ","        8 (  3.3) ","       26 (  4.7) ","       27 (  4.0) ","<0.001",""," 0.157"
"CKD_STAGE_4 = 1 (%)","       30 (  0.0) ","        1 (  0.0) ","        2 (  0.0) ","        7 (  0.0) ","        9 (  0.0) ","       11 (  0.0) ","<0.001",""," 0.008","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.1) ","        2 (  0.3) ","        7 (  2.9) ","        9 (  1.6) ","       11 (  1.6) ","<0.001",""," 0.110"
"CKD_STAGE_5 = 1 (%)","      126 (  0.0) ","       15 (  0.0) ","       15 (  0.0) ","       16 (  0.0) ","       35 (  0.0) ","       45 (  0.1) ","<0.001",""," 0.013","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","       15 (  1.3) ","       15 (  2.4) ","       16 (  6.7) ","       35 (  6.4) ","       45 (  6.7) ","<0.001",""," 0.202"
