"","Overall","0","1","p","test","SMD","[0,5)","[5,10)","[10,14)","[14,18)","[18,22)","p","test","SMD","[0,5):0","[5,10):0","[10,14):0","[14,18):0","[18,22):0","[0,5):1","[5,10):1","[10,14):1","[14,18):1","[18,22):1","p","test","SMD"
"PAD = 1 (%)","       19 (  0.0) ","       16 (  0.0) ","        3 (  0.0) ","<0.001",""," 0.026","        6 (  0.0) ","        3 (  0.0) ","        0 (  0.0) ","        3 (  0.0) ","        7 (  0.0) "," 0.031",""," 0.005","        6 (  0.0) ","        2 (  0.0) ","        0 (  0.0) ","        3 (  0.0) ","        5 (  0.0) ","        0 (  0.0) ","        1 (  0.1) ","        0 (  0.0) ","        0 (  0.0) ","        2 (  0.1) ","<0.001",""," 0.017"
"PCI = 1 (%)","        3 (  0.0) ","        3 (  0.0) ","        0 (  0.0) "," 1.000",""," 0.003","        1 (  0.0) ","        1 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.820",""," 0.002","        1 (  0.0) ","        1 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.997",""," 0.002"
"PEDCKD = 1 (%)","     7771 (  0.9) ","        0 (  0.0) ","     7771 (100.0) ","<0.001",""," NaN","     1808 (  0.8) ","     1515 (  0.7) ","     1097 (  0.8) ","     1362 (  1.0) ","     1989 (  1.6) ","<0.001",""," 0.039","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","     1808 (100.0) ","     1515 (100.0) ","     1097 (100.0) ","     1362 (100.0) ","     1989 (100.0) ","<0.001",""," NaN"
"PEDCONG = 1 (%)","     5273 (  0.6) ","     5006 (  0.6) ","      267 (  3.4) ","<0.001",""," 0.203","     3022 (  1.4) ","      970 (  0.4) ","      520 (  0.4) ","      416 (  0.3) ","      345 (  0.3) ","<0.001",""," 0.055","     2852 (  1.3) ","      935 (  0.4) ","      502 (  0.4) ","      393 (  0.3) ","      324 (  0.3) ","      170 (  9.4) ","       35 (  2.3) ","       18 (  1.6) ","       23 (  1.7) ","       21 (  1.1) ","<0.001",""," 0.146"
"PHYSICIANF = 1 (%)","   743472 ( 87.9) ","   735955 ( 87.8) ","     7517 ( 96.7) ","<0.001",""," 0.339","   204012 ( 94.2) ","   192542 ( 86.9) ","   122005 ( 85.0) ","   118897 ( 85.1) ","   106016 ( 85.3) ","<0.001",""," 0.132","   202223 ( 94.1) ","   191076 ( 86.8) ","   120961 ( 85.0) ","   117614 ( 85.0) ","   104081 ( 85.1) ","     1789 ( 98.9) ","     1466 ( 96.8) ","     1044 ( 95.2) ","     1283 ( 94.2) ","     1935 ( 97.3) ","<0.001",""," 0.248"
"PSYCH = 0 (%)","   845788 (100.0) ","   838017 (100.0) ","     7771 (100.0) "," NA","","<0.001","   216602 (100.0) ","   221676 (100.0) ","   143485 (100.0) ","   139669 (100.0) ","   124356 (100.0) "," NA","","<0.001","   214794 (100.0) ","   220161 (100.0) ","   142388 (100.0) ","   138307 (100.0) ","   122367 (100.0) ","     1808 (100.0) ","     1515 (100.0) ","     1097 (100.0) ","     1362 (100.0) ","     1989 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","      824 (  0.1) ","      712 (  0.1) ","      112 (  1.4) ","<0.001",""," 0.156","      190 (  0.1) ","       84 (  0.0) ","       83 (  0.1) ","      165 (  0.1) ","      302 (  0.2) ","<0.001",""," 0.027","      162 (  0.1) ","       77 (  0.0) ","       72 (  0.1) ","      138 (  0.1) ","      263 (  0.2) ","       28 (  1.5) ","        7 (  0.5) ","       11 (  1.0) ","       27 (  2.0) ","       39 (  2.0) ","<0.001",""," 0.103"
"RCPNT_DLVRY = 1 (%)","    33709 (  4.0) ","    33052 (  3.9) ","      657 (  8.5) ","<0.001",""," 0.188","    27778 ( 12.8) ","        1 (  0.0) ","        2 (  0.0) ","      264 (  0.2) ","     5664 (  4.6) ","<0.001",""," 0.294","    27335 ( 12.7) ","        1 (  0.0) ","        2 (  0.0) ","      258 (  0.2) ","     5456 (  4.5) ","      443 ( 24.5) ","        0 (  0.0) ","        0 (  0.0) ","        6 (  0.4) ","      208 ( 10.5) ","<0.001",""," 0.337"
"SNF = 0 (%)","   845788 (100.0) ","   838017 (100.0) ","     7771 (100.0) "," NA","","<0.001","   216602 (100.0) ","   221676 (100.0) ","   143485 (100.0) ","   139669 (100.0) ","   124356 (100.0) "," NA","","<0.001","   214794 (100.0) ","   220161 (100.0) ","   142388 (100.0) ","   138307 (100.0) ","   122367 (100.0) ","     1808 (100.0) ","     1515 (100.0) ","     1097 (100.0) ","     1362 (100.0) ","     1989 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","      110 (  0.0) ","       35 (  0.0) ","       75 (  1.0) ","<0.001",""," 0.139","       11 (  0.0) ","       20 (  0.0) ","       20 (  0.0) ","       17 (  0.0) ","       42 (  0.0) ","<0.001",""," 0.010","        5 (  0.0) ","        9 (  0.0) ","        8 (  0.0) ","        4 (  0.0) ","        9 (  0.0) ","        6 (  0.3) ","       11 (  0.7) ","       12 (  1.1) ","       13 (  1.0) ","       33 (  1.7) ","<0.001",""," 0.089"
"age (mean (sd))","-54688.17 (165.49)","-54688.55 (165.26)","-54648.01 (183.97)","<0.001",""," 0.232","-54888.08 (29.35)","-54767.71 (38.56)","-54642.39 (30.60)","-54531.52 (30.62)","-54426.98 (29.91)","<0.001",""," 7.361","-54888.01 (29.34)","-54767.73 (38.56)","-54642.40 (30.60)","-54531.55 (30.62)","-54427.10 (29.88)","-54895.55 (29.94)","-54765.41 (38.94)","-54640.17 (31.32)","-54528.65 (30.40)","-54419.63 (30.59)","<0.001",""," 6.598"
"died = 0 (%)","   845788 (100.0) ","   838017 (100.0) ","     7771 (100.0) "," NA","","<0.001","   216602 (100.0) ","   221676 (100.0) ","   143485 (100.0) ","   139669 (100.0) ","   124356 (100.0) "," NA","","<0.001","   214794 (100.0) ","   220161 (100.0) ","   142388 (100.0) ","   138307 (100.0) ","   122367 (100.0) ","     1808 (100.0) ","     1515 (100.0) ","     1097 (100.0) ","     1362 (100.0) ","     1989 (100.0) "," NA","","<0.001"
